source,target,weight,tag
b2,t_fantasy,47478,fantasy
b7,t_fantasy,41786,fantasy
b23,t_fantasy,39501,fantasy
b18,t_fantasy,39330,fantasy
b24,t_fantasy,38378,fantasy
b25,t_fantasy,37296,fantasy
b27,t_fantasy,37174,fantasy
b10,t_classics,35772,classics
b5,t_classics,32061,classics
b19,t_fantasy,31618,fantasy
b4,t_classics,31068,classics
b110,t_fantasy,26321,fantasy
b63,t_classics,23760,classics
b155,t_fantasy,22700,fantasy
b8,t_classics,22118,classics
b14,t_classics,22106,classics
b135,t_fantasy,22080,fantasy
b161,t_fantasy,21885,fantasy
b165,t_fantasy,21423,fantasy
b192,t_fantasy,20679,fantasy
b42,t_classics,20533,classics
b28,t_classics,20516,classics
b29,t_classics,20507,classics
b37,t_fantasy,19280,fantasy
b71,t_classics,19277,classics
b32,t_classics,19214,classics
b53,t_fantasy,18952,fantasy
b62,t_fantasy,18539,fantasy
b188,t_fantasy,18409,fantasy
b95,t_classics,18319,classics
b58,t_classics,17401,classics
b41,t_fantasy,16461,fantasy
b171,t_classics,16215,classics
b83,t_classics,16170,classics
b167,t_fantasy,16071,fantasy
b160,t_classics,15539,classics
b389,t_fantasy,15166,fantasy
b97,t_classics,14939,classics
b48,t_classics,14903,classics
b3,t_fantasy,14288,fantasy
b79,t_classics,14238,classics
b377,t_fantasy,14088,fantasy
b230,t_classics,14048,classics
b125,t_classics,13787,classics
b103,t_classics,13748,classics
b189,t_fantasy,13690,fantasy
b47,t_historical-fiction,13616,historical-fiction
b172,t_classics,13442,classics
b70,t_science-fiction,13142,science-fiction
b330,t_fantasy,13093,fantasy
b1,t_dystopian,12985,dystopian
b7,t_classics,12913,classics
b322,t_fantasy,12777,fantasy
b307,t_fantasy,12510,fantasy
b204,t_classics,12436,classics
b109,t_classics,12407,classics
b70,t_sci-fi,12349,sci-fi
b355,t_fantasy,12310,fantasy
b93,t_classics,12224,classics
b55,t_classics,12212,classics
b12,t_dystopian,12165,dystopian
b185,t_fantasy,11645,fantasy
b429,t_fantasy,11255,fantasy
b15,t_non-fiction,11202,non-fiction
b368,t_fantasy,11166,fantasy
b283,t_fantasy,11127,fantasy
b451,t_classics,11122,classics
b20,t_dystopian,11103,dystopian
b1,t_dystopia,11065,dystopia
b54,t_science-fiction,10977,science-fiction
b131,t_classics,10927,classics
b15,t_classics,10919,classics
b1,t_fantasy,10836,fantasy
b116,t_classics,10669,classics
b151,t_fantasy,10652,fantasy
b130,t_classics,10485,classics
b49,t_fantasy,10301,fantasy
b746,t_fantasy,10265,fantasy
b66,t_classics,10242,classics
b480,t_fantasy,10215,fantasy
b279,t_fantasy,10025,fantasy
b52,t_fantasy,9913,fantasy
b126,t_science-fiction,9794,science-fiction
b54,t_sci-fi,9773,sci-fi
b565,t_fantasy,9742,fantasy
b312,t_fantasy,9736,fantasy
b17,t_dystopia,9696,dystopia
b214,t_fantasy,9592,fantasy
b139,t_fantasy,9445,fantasy
b248,t_classics,9438,classics
b20,t_dystopia,9315,dystopia
b153,t_fantasy,9290,fantasy
b194,t_classics,9249,classics
b65,t_classics,9243,classics
b159,t_fantasy,9218,fantasy
b535,t_fantasy,9152,fantasy
b16,t_mystery,9141,mystery
b69,t_dystopian,9113,dystopian
b50,t_poetry,9108,poetry
b229,t_classics,9065,classics
b562,t_fantasy,9034,fantasy
b399,t_fantasy,9004,fantasy
b361,t_classics,8997,classics
b447,t_fantasy,8937,fantasy
b117,t_fantasy,8912,fantasy
b510,t_fantasy,8912,fantasy
b175,t_fantasy,8869,fantasy
b341,t_classics,8814,classics
b542,t_fantasy,8813,fantasy
b200,t_mystery,8809,mystery
b1,t_science-fiction,8772,science-fiction
b10,t_romance,8756,romance
b143,t_historical-fiction,8742,historical-fiction
b293,t_classics,8727,classics
b232,t_fantasy,8723,fantasy
b134,t_fantasy,8665,fantasy
b17,t_fantasy,8658,fantasy
b682,t_fantasy,8539,fantasy
b113,t_classics,8530,classics
b126,t_sci-fi,8479,sci-fi
b137,t_historical-fiction,8429,historical-fiction
b176,t_horror,8415,horror
b31,t_historical-fiction,8342,historical-fiction
b1728,t_fantasy,8342,fantasy
b48,t_science-fiction,8319,science-fiction
b30,t_mystery,8307,mystery
b390,t_classics,8292,classics
b528,t_fantasy,8255,fantasy
b584,t_fantasy,8249,fantasy
b842,t_fantasy,8190,fantasy
b301,t_classics,8128,classics
b191,t_graphic-novels,8098,graphic-novels
b481,t_fantasy,8032,fantasy
b20,t_fantasy,8021,fantasy
b450,t_fantasy,8018,fantasy
b602,t_fantasy,7969,fantasy
b413,t_classics,7969,classics
b19,t_classics,7966,classics
b282,t_fantasy,7964,fantasy
b97,t_horror,7930,horror
b141,t_sci-fi,7905,sci-fi
b208,t_non-fiction,7897,non-fiction
b13,t_science-fiction,7892,science-fiction
b6,t_romance,7849,romance
b223,t_fantasy,7840,fantasy
b270,t_classics,7698,classics
b213,t_classics,7581,classics
b142,t_historical-fiction,7569,historical-fiction
b498,t_classics,7569,classics
b183,t_fantasy,7552,fantasy
b186,t_historical-fiction,7515,historical-fiction
b2116,t_fantasy,7505,fantasy
b237,t_horror,7461,horror
b620,t_fantasy,7458,fantasy
b3,t_vampires,7438,vampires
b722,t_fantasy,7356,fantasy
b917,t_fantasy,7325,fantasy
b1668,t_fantasy,7237,fantasy
b33,t_historical-fiction,7195,historical-fiction
b55,t_science-fiction,7151,science-fiction
b225,t_classics,7128,classics
b61,t_mystery,7100,mystery
b37,t_classics,7012,classics
b105,t_dystopian,6983,dystopian
b215,t_science-fiction,6983,science-fiction
b559,t_classics,6976,classics
b560,t_classics,6900,classics
b755,t_fantasy,6866,fantasy
b353,t_classics,6830,classics
b162,t_classics,6783,classics
b49,t_romance,6697,romance
b949,t_fantasy,6689,fantasy
b106,t_non-fiction,6675,non-fiction
b666,t_fantasy,6666,fantasy
b276,t_science-fiction,6619,science-fiction
b69,t_dystopia,6604,dystopia
b252,t_fantasy,6586,fantasy
b129,t_classics,6560,classics
b10,t_classic,6542,classic
b427,t_classics,6537,classics
b168,t_horror,6522,horror
b20,t_science-fiction,6490,science-fiction
b933,t_fantasy,6478,fantasy
b1018,t_fantasy,6459,fantasy
b648,t_fantasy,6456,fantasy
b309,t_fantasy,6448,fantasy
b52,t_romance,6445,romance
b215,t_sci-fi,6442,sci-fi
b1023,t_fantasy,6406,fantasy
b529,t_classics,6390,classics
b71,t_horror,6371,horror
b298,t_classics,6362,classics
b82,t_non-fiction,6361,non-fiction
b263,t_fantasy,6357,fantasy
b1343,t_fantasy,6319,fantasy
b4,t_classic,6309,classic
b127,t_non-fiction,6234,non-fiction
b305,t_horror,6222,horror
b597,t_classics,6219,classics
b1,t_sci-fi,6211,sci-fi
b257,t_classics,6210,classics
b590,t_classics,6203,classics
b1022,t_fantasy,6197,fantasy
b49,t_vampires,6194,vampires
b137,t_romance,6193,romance
b387,t_classics,6082,classics
b1119,t_fantasy,6039,fantasy
b518,t_classics,6034,classics
b672,t_mystery,6016,mystery
b264,t_classics,6005,classics
b211,t_non-fiction,6003,non-fiction
b52,t_vampires,5997,vampires
b531,t_classics,5997,classics
b928,t_fantasy,5946,fantasy
b253,t_mystery,5929,mystery
b439,t_science,5922,science
b478,t_classics,5907,classics
b346,t_classics,5903,classics
b859,t_fantasy,5834,fantasy
b379,t_fantasy,5809,fantasy
b48,t_sci-fi,5796,sci-fi
b9,t_mystery,5740,mystery
b1480,t_fantasy,5727,fantasy
b119,t_classics,5711,classics
