id,label,type,author,n_books
b2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",book,"J.K. Rowling, Mary GrandPré",1
b7,The Hobbit,book,J.R.R. Tolkien,1
b23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",book,"J.K. Rowling, Mary GrandPré",1
b18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",book,"J.K. Rowling, Mary GrandPré, Rufus Beck",1
b24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",book,"J.K. Rowling, Mary GrandPré",1
b25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",book,"J.K. Rowling, Mary GrandPré",1
b27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",book,"J.K. Rowling, Mary GrandPré",1
b10,Pride and Prejudice,book,Jane Austen,1
b5,The Great Gatsby,book,F. Scott Fitzgerald,1
b19,"The Fellowship of the Ring (The Lord of the Rings, #1)",book,J.R.R. Tolkien,1
b4,To Kill a Mockingbird,book,Harper Lee,1
b110,"A Clash of Kings  (A Song of Ice and Fire, #2)",book,George R.R. Martin,1
b63,Wuthering Heights,book,"Emily Brontë, Richard J. Dunn",1
b155,"The Two Towers (The Lord of the Rings, #2)",book,J.R.R. Tolkien,1
b8,The Catcher in the Rye,book,J.D. Salinger,1
b14,Animal Farm,book,George Orwell,1
b135,"A Storm of Swords (A Song of Ice and Fire, #3)",book,George R.R. Martin,1
b161,"The Return of the King (The Lord of the Rings, #3)",book,J.R.R. Tolkien,1
b165,"A Feast for Crows (A Song of Ice and Fire, #4)",book,George R.R. Martin,1
b192,"The Name of the Wind (The Kingkiller Chronicle, #1)",book,Patrick Rothfuss,1
b42,"Little Women (Little Women, #1)",book,Louisa May Alcott,1
b28,Lord of the Flies,book,William Golding,1
b29,Romeo and Juliet,book,"William Shakespeare, Robert           Jackson",1
b37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",book,C.S. Lewis,1
b71,Frankenstein,book,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1
b32,Of Mice and Men,book,John Steinbeck,1
b53,"Eragon (The Inheritance Cycle, #1)",book,Christopher Paolini,1
b62,"The Golden Compass (His Dark Materials, #1)",book,Philip Pullman,1
b188,"A Dance with Dragons (A Song of Ice and Fire, #5)",book,George R.R. Martin,1
b95,The Picture of Dorian Gray,book,"Oscar Wilde, Jeffrey Eugenides",1
b58,The Adventures of Huckleberry Finn,book,"Mark Twain, John Seelye, Guy Cardwell",1
b41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",book,Rick Riordan,1
b171,Emma,book,"Jane Austen, Fiona Stafford",1
b83,A Tale of Two Cities,book,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1
b167,"American Gods (American Gods, #1)",book,Neil Gaiman,1
b160,Great Expectations,book,Charles Dickens,1
b389,"The Final Empire (Mistborn, #1)",book,Brandon Sanderson,1
b97,Dracula,book,"Bram Stoker, Nina Auerbach, David J. Skal",1
b48,Fahrenheit 451,book,Ray Bradbury,1
b3,"Twilight (Twilight, #1)",book,Stephenie Meyer,1
b79,The Odyssey,book,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",1
b377,Stardust,book,Neil Gaiman,1
b230,Persuasion,book,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1
b125,Hamlet,book,"William Shakespeare, Richard Andrews, Rex Gibson",1
b103,The Count of Monte Cristo,book,"Alexandre Dumas, Robin Buss",1
b189,"The Lord of the Rings (The Lord of the Rings, #1-3)",book,J.R.R. Tolkien,1
b47,The Book Thief,book,Markus Zusak,1
b172,Anna Karenina,book,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1
b70,"Ender's Game (Ender's Saga, #1)",book,Orson Scott Card,1
b330,"The Eye of the World (Wheel of Time, #1)",book,Robert Jordan,1
b1,"The Hunger Games (The Hunger Games, #1)",book,Suzanne Collins,1
b322,Neverwhere,book,Neil Gaiman,1
b307,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",book,Patrick Rothfuss,1
b204,A Christmas Carol,book,Charles Dickens,1
b109,Les Misérables,book,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1
b355,"Graceling (Graceling Realm, #1)",book,Kristin Cashore,1
b93,The Secret Garden,book,Frances Hodgson Burnett,1
b55,Brave New World,book,Aldous Huxley,1
b12,"Divergent (Divergent, #1)",book,Veronica Roth,1
b185,The Night Circus,book,Erin Morgenstern,1
b429,"The Color of Magic (Discworld, #1; Rincewind #1)",book,Terry Pratchett,1
b15,The Diary of a Young Girl,book,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1
b368,"The Subtle Knife (His Dark Materials, #2)",book,Philip Pullman,1
b283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",book,"Terry Pratchett, Neil Gaiman",1
b451,Northanger Abbey,book,"Jane Austen, Alfred MacAdam",1
b20,"Mockingjay (The Hunger Games, #3)",book,Suzanne Collins,1
b54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",book,Douglas Adams,1
b131,The Grapes of Wrath,book,John Steinbeck,1
b116,The Adventures of Tom Sawyer,book,"Mark Twain, Guy Cardwell, John Seelye",1
b151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",book,Rick Riordan,1
b130,The Old Man and the Sea,book,Ernest Hemingway,1
b49,"New Moon (Twilight, #2)",book,Stephenie Meyer,1
b746,"The Lies of Locke Lamora (Gentleman Bastard, #1)",book,Scott Lynch,1
b66,Gone with the Wind,book,Margaret Mitchell,1
b480,"The Amber Spyglass (His Dark Materials, #3)",book,Philip Pullman,1
b279,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",book,"John Tiffany, Jack Thorne, J.K. Rowling",1
b52,"Eclipse (Twilight, #3)",book,Stephenie Meyer,1
b126,Dune (Dune Chronicles #1),book,Frank Herbert,1
b565,"The Well of Ascension (Mistborn, #2)",book,Brandon Sanderson,1
b312,The Graveyard Book,book,"Neil Gaiman, Dave McKean",1
b17,"Catching Fire (The Hunger Games, #2)",book,Suzanne Collins,1
b214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",book,Rick Riordan,1
b139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",book,Ransom Riggs,1
b248,A Midsummer Night's Dream,book,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1
b153,"City of Ashes (The Mortal Instruments, #2)",book,Cassandra Clare,1
b194,"Moby-Dick or, The Whale",book,"Herman Melville, Andrew Delbanco, Tom Quirk",1
b65,Slaughterhouse-Five,book,Kurt Vonnegut Jr.,1
b159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",book,Rick Riordan,1
b535,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",book,Laini Taylor,1
b16,"The Girl with the Dragon Tattoo (Millennium, #1)",book,"Stieg Larsson, Reg Keeland",1
b69,"Insurgent (Divergent, #2)",book,Veronica Roth,1
b50,Where the Sidewalk Ends,book,Shel Silverstein,1
b229,Alice's Adventures in Wonderland & Through the Looking-Glass,book,"Lewis Carroll, John Tenniel, Martin Gardner",1
b562,"The Way of Kings (The Stormlight Archive, #1)",book,Brandon Sanderson,1
b399,The Tales of Beedle the Bard,book,J.K. Rowling,1
b361,Oliver Twist,book,"Charles Dickens, George Cruikshank, Philip Horne",1
b447,"Brisingr (The Inheritance Cycle, #3)",book,Christopher Paolini,1
b117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",book,Madeleine L'Engle,1
b510,"The Great Hunt (Wheel of Time, #2)",book,Robert Jordan,1
b175,"The Last Olympian (Percy Jackson and the Olympians, #5)",book,Rick Riordan,1
