author,title,subtitle,year,author_gender,pseudonym,genre,general_genre,genre1,genre2,genre3,genre4,genre5,canon,narration,characters,city,source,separate_edition,has_text,file_name,characters_clean,char_nan,char_дворяне,char_аристократы,char_разночинцы,char_легендарные_исторические_фигуры,char_военные,char_крестьяне,char_купцы,char_чиновники,char_народности_и_этнические_группы,char_криминальный_мир,char_революционеры,char_духовенство,char_творческие_люди,char_рабочие,char_женщины,char_помещики,char_другое,char_горожане,char_сектанты,char_мещане,char_казаки,char_бояре,char_студенты,char_мифическое,char_князья,char_учителя,char_моряки,char_эмигранты,char_придворная_знать,char_семейная_пара,char_рыцари,char_графы,char_слуги,char_врачи,char_ученые,char_types_count,has_char_info
"Эмин, Федор Александрович","Награждённая постоянность, или Приключения Лизарка и Сарманды",Сочинения Федора Эмина,1763,мужской,0,любовный,любовный,,,,,,0,3 лицо,['дворяне'],Санкт-Петербург,Отд. изд.,1,0,,['дворяне'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
"Эмин, Федор Александрович","Непостоянная фортуна, или Похождения Мирамонда",,1763,мужской,0,авантюрный,приключенческий,,,,,,0,3 лицо,['дворяне'],Санкт-Петербург,Отд. изд.,1,0,,['дворяне'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
"Эмин, Федор Александрович","Приключения Фемистокла и разные политические, гражданские, философические, физические и военные его с сыном своим разговоры, постоянная жизнь и жестокость фортуны, его гонящей",,1763,мужской,0,исторический,исторический,,,,,,0,3 лицо,['легендарные исторические фигуры'],Санкт-Петербург,Отд. изд.,1,0,,['легендарные исторические фигуры'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
"Чулков, Михаил Дмитриевич","Пересмешник, или Славенские сказки",,1766,мужской,0,,,авантюрный,сатирический,плутовской,фольклорный,,0,3 лицо,['духовенство'],Санкт-Петербург,Отд. изд.,1,1,chulkov_m_peresmeshnik_ili_slavenskie_skazki_1766.txt,['духовенство'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
"Эмин, Федор Александрович",Письма Эрнеста и Доравры,,1766,мужской,0,"философский, любовный",философский,,,,,,0,в письмах,['дворяне'],Санкт-Петербург,Отд. изд.,1,0,,['дворяне'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
"Херасков, Михаил Матвеевич","Нума, или процветающий Рим",,1768,мужской,0,философский,философский,,,,,,0,3 лицо,"['легендарные исторические фигуры', 'аристократия прошлого']",Москва,Отд. изд.,1,0,,"['легендарные исторические фигуры', 'аристократы']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,True
"Попов, Михаил Иванович","Славянские древности, или Приключения славянских князей",,1770,мужской,0,"псевдоисторический, волшебная сказка, галантный роман, рыцарский роман",исторический,,,,,,0,3 лицо,['князья'],Санкт-Петербург,Отд. изд.,1,0,,['князья'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,True
"Чулков, Михаил Дмитриевич","Пригожая повариха, или Похождение развратной женщины",,1770,мужской,0,"любовный, авантюрный",любовный,любовный,авантюрный,плутовской,бытовой,,0,1 лицо,"['дворяне', 'помещики']",Санкт-Петербург,Отд. изд.,1,1,chulkov_m_prigozhaya_povarikha_ili_pokhozhdenie_razvratnoj_zhenshiny_1770.txt,"['дворяне', 'помещики']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,True
"Игнатьев, Семен Егорович",Похождение новомодной красавицы Гуланданы и храброго принца Барама,"Сочиненное Диларгетом, секретарем тифлисским, а переведено с грузинского языка московского университета информатором Семеном Игнатьевым",1773,мужской,0,"фантастический, авантюрный, любовный",фантастический,,,,,,0,3 лицо,"['принцы', 'принцессы', 'короли', 'королевы и другие представители придворной знати']",Санкт-Петербург,Отд. изд.,1,0,,['придворная знать'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,True
"Назарьев, Александр Петрович","Несчастный Никанор, или Приключение жизни российского дворянина Н********",,1775,мужской,0,,,авантюрный,сентиментальный,нравоучительный,,,0,3 лицо,['дворяне'],Санкт-Петербург,Отд. изд.,1,1,nazarev_a_neschastnyj_nikanor_ili_priklyuchenie_zhizni_rossijskogo_dvoryanina_n_1775.txt,['дворяне'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
"Веревкин, Михаил Иванович",Небылица,,1778,мужской,0,любовный,любовный,,,,,,0,3 лицо,['крестьяне'],Санкт-Петербург,Отд. изд.,1,0,,['крестьяне'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
Иермонах Аполлос,"Лишенный зрения Ураний, несчастный государь",Священная повесть,1779,мужской,1,"философский, нравоучительный",философский,,,,,,0,3 лицо,['аристократия прошлого'],Москва,Отд. изд.,1,0,,['аристократы'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
"Аполлос, епископ Архангельский и Холмогорский",Неразрывный союз двух братьев,Повесть из любомудрия почерпнутая,1780,мужской,1,"философский, нравоучительный",философский,,,,,,0,3 лицо,['nan'],Москва,Отд. изд.,1,0,,['nan'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
"Богданович, Петр Иванович","Дикий человек, смеющийся учености и нравам нынешнего света",,1781,мужской,0,критика,,сатирический,философский,нравоучительный,просветительский,,0,3 лицо,['nan'],Санкт-Петербург,Отд. изд.,1,1,bogdanovich_p_dikij_chelovek_smeyushijsya_uchenosti_i_nravam_nyneshnego_sveta_1781.txt,['nan'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
"Комаров, Матвей",Повесть о приключении английского милорда Георга и бранденбургской маркграфини Фредерики Луизы,изданная М.К.,1782,мужской,0,"авантюрный, любовный",приключенческий,авантюрный,любовный,приключенческий,,,0,1 лицо,['nan'],Санкт-Петербург,Отд. изд.,1,1,komarov_m_povest_o_priklyuchenii_aglinskogo_milorda_georga_i_o_brandeburgskoj_markgrafine_friderike-luize_1782.txt,['nan'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
"Лазаревич, Василий Васильевич",Добродетельная Розана,сочиненная В.Л.,1782,мужской,0,,,,,,,,0,3 лицо,['nan'],Санкт-Петербург,Отд. изд.,1,0,,['nan'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
